R1,R2,C1,C2,Cutoff_Freq_Hz,Q_factor
3446.2167225363632,90901.12446329808,2.467261966203703e-09,5.8268930269228616e-08,29.5120923,0.03860249400190919
29610.102688659063,2218.679175693433,1.9898753298686944e-09,8.176416261294008e-08,61.6595002,0.03972634681712623
5395.847093822383,1611.7205498307317,7.854674080634139e-10,4.612246629990507e-08,501.187234,0.05491806333921975
6271.6353196094315,66042.41170336875,1.0696725614152175e-08,8.936763034786059e-07,2.8840315,0.03079034109610034
3906.7857991417654,1714.3559284764744,6.40873499629855e-07,8.595987328426521e-10,4073.80278,12.571121826088026
2161.4844015752083,1090.4939512260175,1.324501494490942e-07,7.208472055062011e-08,954.992586,0.6399479528468058
5183.664372451183,2112.714731418917,1.8898104418557146e-07,1.999669159012161e-08,1122.01845,1.39431700646281
22032.122009840434,11008.967283157068,2.211223622587171e-09,1.6743018884668e-08,301.995172,0.17129573388025554
8148.827031391818,1051.823779614047,2.714817461991283e-07,1.4036793641298602e-10,13803.8426,13.993838362752314
1535.6727868194885,48307.22270451352,1.8950394323314393e-10,8.11891531894289e-09,398.107171,0.026400505052725176
